Name,BoroCode,open_year_round,Latitude,Longitude,place_id
Hart Playground,4,Yes,40.748905,-73.89721999999998,ChIJrc6_ZgRfwokR09_KMeIqiDI
Harvey Park,4,Yes,40.784554,-73.82343,ChIJY1qUZLyKwokRxYZa4HRQo6c
Hattie Carthan Playground,3,Yes,40.685444,-73.94608000000002,ChIJ0RqI341bwokR30woo5CHACc
Havemeyer Playground,2,No,40.829838,-73.84788,ChIJmdbfVcn0wokR5tQSzXTHYpc
Heckscher Playground,3,Yes,40.695065,-73.91816,ChIJy_AHNRdcwokRgKzo0bzB-c4
Henry Hudson Park,2,Yes,40.88092,-73.92018,ChIJM6mCDOnzwokRdA3Jq-C9HOE
Herbert Von King Park,3,Yes,40.689613,-73.94673,ChIJgypUQY1bwokRQ2r4QJ0d1so
Herman Dolgon Playground,3,Yes,40.59826,-73.93984,ChIJm_VUp4NEwokRTRrTLuTIro8
Hermon MacNeil Park,4,Yes,40.79283,-73.85186,ChIJP5W2-Ej1wokR3QpPBK__PRs
High Rock Park,5,Yes,40.58254,-74.12326,ChIJ64AwUh1MwokRiTY282qWRDA
Highland Park,4,Yes,40.68837,-73.88748000000002,ChIJF1inp8xdwokRIG9nBQYpooQ
Hoffman Park,4,Yes,40.732677,-73.87223,ChIJn8nHyE5ewokRQl0AboAImmc
Holcombe Rucker,1,Yes,40.828884,-73.935615,ChIJi7evxHBcq1IRgyAeL53_xOo
Horseshoe Playground,2,Yes,40.824013,-73.897675,ChIJf1AYAlP0wokRoYMJmELhykY
Hunts Point Playground,2,Yes,40.814228,-73.885826,ChIJh2OF3wb1wokRlK6_7_a7YpE
Inwood Hill Park (Nature Center),1,Yes,40.867714,-73.9212,ChIJd6eiHvfzwokRHALd9SLBP0c
Inwood Hill Park (Payson Playground),1,Yes,40.867714,-73.9212,ChIJd6eiHvfzwokRHALd9SLBP0c
Inwood Hill Park (Tennis Courts),1,Yes,40.867714,-73.9212,ChIJd6eiHvfzwokRHALd9SLBP0c
J. Hood Wright Park,1,Yes,40.846367,-73.94149,ChIJW8Q_N5_2wokREfZXoLWHIEA
Jackie Robinson Park,3,Yes,40.680355,-73.92772,ChIJqR2g_HBcwokRyNmxhVvr6XE
Jackie Robinson Park,1,Yes,40.82429000000001,-73.94216999999998,ChIJgzplcn72wokRpwVCAYr77ls
Jackie Robinson Playground,3,Yes,40.66584,-73.95921,ChIJwcx0MnNbwokRsAaRzCD7IVI
Jesse Owens Playground,3,Yes,40.691235,-73.93249499999997,ChIJ_-XirgtcwokRcn75EiyhOlg
John Golden Park,4,No,40.7743,-73.76765,ChIJcZJPfBKKwokRgRj3L03dXgE
John J. Carty Park,3,Yes,40.613262,-74.03009,ChIJWXrh_odPwokRmhFHGTyQvxE
John Jay Park & Pool,1,Yes,40.769306,-73.949394,ChIJEQ6kk8dYwokRVW7W8Xj-lqw
John Paul Jones Park,3,Yes,40.611153,-74.03405,ChIJNeN18YZPwokREIx2z6hFJuM
Joseph Austin Playground,4,Yes,40.715847,-73.8011,ChIJEW3DieNgwokRy4_Fb_KsIaM
Joseph F. Mafera Park,4,Yes,40.707176,-73.891525,ChIJcVQZ0IBewokRz7YTIHpEJns
Juniper Valley Park,4,Yes,40.721127,-73.8846,ChIJwaaRmmdewokRTRadCEvkHnA
Kaiser Park,3,Yes,40.579586,-73.99696,ChIJbwdQG7hFwokRA-1gKnCmC3E
Kennedy King Playground,3,Yes,40.65861500000001,-73.92205,ChIJo-7mx49cwokRIQd6l9bLO0o
Kissena Park,4,Yes,40.746174,-73.80809,ChIJz0JyaUZgwokRaa65eFs4xX0
Lawerence Virgilio Playground,4,Yes,40.747448,-73.91081,ChIJq5MydB9fwokR7UA__nypHS0
Leif Ericson Park & Square,3,Yes,40.6395739,-74.0141676,ChIJJ5otRLZ38ocRrYN14zm9Ke0
Levy Playground,5,Yes,40.633904,-74.12904,ChIJaWCTkN5NwokRtLC663gfgSw
Lincoln Terrace Park,3,Yes,40.667343,-73.92643000000002,ChIJE9J4o4dcwokRHBEGAPmS6jw
Linden Park,3,Yes,40.658955,-73.88711500000002,ChIJzZBlvAFdwokRTXrC3I_f9ds
Linden Park,4,Yes,40.67347,-73.84479,ChIJ1TChq4tdwokRUn3Sih6oXnQ
Lindower Park,3,Yes,40.61231,-73.91136,ChIJy_FkuzhDwokRsB5JkGlLn0w
Little Flower Playground,1,No,40.712395,-73.98841999999998,ChIJzSG25itawokRo4CWpVi_CbE
London Planetree Playground,4,Yes,40.686084,-73.853117,ChIJdd4hrwug2EcRmSrV3Vo6llI
Lost Battalion Hall,4,Yes,40.73185,-73.86533,ChIJ00BqHzZewokRJzV4xkzXHxI
Lozada Playground,2,Yes,40.80787700000001,-73.92505,ChIJgbaoOt31wokRNjCQaJIiiwI
Lyons Pool,5,No,40.637283,-74.07444,ChIJyUNPAM1PwokRXVq-XUSZmFs
Macombs Dam Park,2,Yes,40.827545,-73.92976999999998,ChIJscfYjyz0wokRzjhFjVCOmGk
Magenta Playground,2,Yes,40.873684,-73.86791,ChIJXS8UTmrzwokRqbVxAmixmFA
Mahoney Playground,5,Yes,40.643402,-74.08600600000003,ChIJOcDAVC5OwokRoqPzL_162BA
Maple Playground,4,No,40.755924,-73.82601,ChIJrxvFvhNgwokR5XpjrtTEp8o
Marble Hill Playground,2,No,40.87752,-73.90824,ChIJISzAipPzwokRwO5kqaUgxg0
Marconi Park,4,Yes,40.692673,-73.794876,ChIJ98nw9dVgwokRaWNY00zt5vc
Marc's & Jason's Playground,3,Yes,40.6635039,-73.949556,ChIJMfr4JdC_UIgR5XXDKcDZMrY
Maria Hernandez Park,3,Yes,40.70316,-73.9239,ChIJY1MdtBxcwokRB2pYGRyDdWs
Marine Park,3,Yes,40.61199000000001,-73.933044,ChIJQ4aauqBEwokRUUjtEmjfFg0
Marine Park Nature Center,3,,40.603966,-73.93056999999997,ChIJoRNC_GNDwokRWOPeZcK6c-g
Martinez Playground,3,Yes,40.708977,-73.94425,ChIJw5Y_mf1bwokRbKDtoe42DhY
