FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
A,POINT (-73.79034284743894 40.86971121697975),Under Tree,Pelham Bay Park,2,Active,40.86971122,-73.79034285
D,POINT (-73.88123879630922 40.89001422371831),"Out in Open, Under Tree",Van Cortlandt Park,2,Active,40.89001422,-73.88123879999998
A,POINT (-73.9577008144543 40.597019272962356),Out in Open,Mellett Playground,3,Active,40.59701927,-73.95770081
C,POINT (-73.95592224556765 40.81533402236661),In Playground,Sheltering Arms Playground,1,Active,40.81533402,-73.95592225
C,POINT (-73.89471522834255 40.8443337338669),"In Playground, Under Tree",Tremont Park,2,Active,40.84433373,-73.89471523
E Wheelchair,POINT (-73.88287559764319 40.719661321328715),Near Ballfield,Juniper Valley Park,4,Active,40.71966132,-73.88287559999998
A,POINT (-73.74202930676597 40.66279275709811),Out in Open,Brookville Park,4,Active,40.66279276,-73.74202931
A,POINT (-73.99409378515034 40.711273537084736),Near Ballfield,Coleman Playground,1,Active,40.71127354,-73.99409379
A,POINT (-73.99492272431905 40.680954367256135),In Playground,Carroll Park,3,Active,40.68095437,-73.99492272
A,POINT (-73.81339927669553 40.82337666521684),"Near Ballfield, Out in Open",Bicentennial Veterans Memorial Park,2,Active,40.82337667,-73.81339928
C,POINT (-73.98134396621283 40.68686719475676),"In Playground, Out in Open",Sixteen Sycamores Playground,3,Active,40.68686719,-73.98134397
C,POINT (-73.90755652017631 40.83190697157351),"In Shade, Under Tree",Morgan Playground,2,Active,40.83190697,-73.90755652
Other,POINT (-74.09293105052043 40.6258156869087),Under Tree,Silver Lake Park,5,Active,40.62581569,-74.09293105
D,POINT (-73.88656429166319 40.6557552253083),Under Tree,Ethan Allen Playground,3,Active,40.65575523,-73.88656429
E Wheelchair,POINT (-73.96541673845005 40.65159403294468),"In Playground, Out in Open",Parade Ground,3,Active,40.65159403,-73.96541674
A,POINT (-73.96642667225402 40.65189496271986),"Out in Open, Near Ballfield",Parade Ground,3,Active,40.65189496,-73.96642667
D,POINT (-74.08417350961426 40.574144166349086),In Playground,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.57414417,-74.08417351
D,POINT (-73.88164445481642 40.84377971338112),Out in Open,Vidalia Park,2,Active,40.84377971,-73.88164445
A,POINT (-74.03082385409537 40.63938498874216),In Playground,Owl's Head Park,3,Active,40.63938499,-74.03082385
A,POINT (-73.8621255159567 40.834144704171955),,Virginia Playground,2,Active,40.8341447,-73.86212552
A,POINT (-73.91030994309541 40.810344772950664),"Out in Open, In Playground",St. Mary's Park,2,Active,40.81034477,-73.91030994
