FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
E Wheelchair,POINT (-73.82156301518366 40.665661537148885),In Playground,Lefferts Playground,4,Active,40.66566154,-73.82156302
CS Metal,POINT (-73.97141198187818 40.66553533456187),,Prospect Park,3,Active,40.66553533,-73.97141198
A,POINT (-73.97908453046058 40.697534835317555),"Under Tree, Just Outside Playground, Out in Open",Commodore Barry Park,3,Active,40.69753484,-73.97908453
C,POINT (-73.87698567251869 40.87858980194994),"Under Tree, In Playground",Williamsbridge Oval,2,Active,40.8785898,-73.87698567
D,POINT (-73.76487548011532 40.73870445869435),Out in Open,Cunningham Park,4,Active,40.73870446,-73.76487548
A,POINT (-74.01642544110179 40.62629859078601),In Playground,McKinley Park,3,Active,40.62629859,-74.01642544
A,POINT (-73.73991365448035 40.741424386485264),Out in Open,Alley Pond Park,4,Active,40.74142439,-73.73991365
E Wheelchair Child,POINT (-73.95885366322298 40.76517523139557),Under Tree,St. Catherine's Park,1,Active,40.76517523,-73.95885366
B,POINT (-73.97718437478852 40.7671449391449),Out in Open,Central Park,1,Active,40.76714494,-73.97718437
A,POINT (-73.97869088695323 40.676847366742294),In Playground,Park Slope Playground,3,Active,40.67684737,-73.97869089
A,POINT (-73.85441680836135 40.701215730370286),Under Tree,Forest Park,4,Active,40.70121573,-73.85441681
A,POINT (-73.79471967166161 40.86449722819361),Out in Open,Pelham Bay Park,2,Active,40.86449723,-73.79471967
C,POINT (-73.96590401654481 40.671914290646335),"Under Tree, In Playground",Mount Prospect Park,3,Active,40.67191429,-73.96590402
A,POINT (-73.75811304500806 40.70004664012317),Out in Open,Daniel M. O'Connell Playground,4,Active,40.70004664,-73.75811305
Bottle Filler High Low,POINT (-73.88807157021346 40.8059973192779),Just Outside Playground,Barretto Point Park,2,Active,40.80599732,-73.88807157
Other,POINT (-73.85518597172653 40.754894224813654),Just Outside Playground,Louis Armstrong Playground,4,Active,40.75489422,-73.85518597
C,POINT (-73.90135634575167 40.71837816751443),"In Shade, Near Ballfield",Reiff Playground,4,Active,40.71837817,-73.90135635
D,POINT (-73.89154110487061 40.85081835790007),"Near Ballfield, Out in Open",Quarry Ballfields,2,Active,40.85081836,-73.8915411
A,POINT (-73.91171294926038 40.82087371006465),"Out in Open, In Playground",Flynn Playground,2,Active,40.82087371,-73.91171295
C,POINT (-73.93458610654928 40.80794734464025),"Under Tree, In Shade",Harlem River Park,1,Active,40.80794734,-73.93458611
E Wheelchair Child,POINT (-73.95612049131351 40.810064611184),In Playground,Morningside Park,1,Active,40.81006461,-73.95612049
A,POINT (-74.01882855450121 40.60468176503449),Near Ballfield,Dyker Beach Park,3,Active,40.60468177,-74.01882855
Other,POINT (-73.84363427823479 40.76317241477851),Out in Open,Flushing Meadows Corona Park,4,Active,40.76317241,-73.84363428
A,POINT (-74.15625157629088 40.60693156670655),Near Ballfield,Willowbrook Park,5,Active,40.60693157,-74.15625158
A,POINT (-73.89089415808847 40.82536320053391),Under Tree,Benjamin Gladstone Square,2,Active,40.82536320000001,-73.89089416
CS Metal,POINT (-73.94157016274394 40.83165670972687),In Playground,Wright Brothers Playground,1,Active,40.83165671,-73.94157016
A,POINT (-73.9349325993517 40.777189534731285),Near Ballfield,Whitey Ford Field,4,Active,40.77718953,-73.93493259999998
C,POINT (-73.89516366053529 40.89684671175243),Out in Open,Van Cortlandt Park,2,Active,40.89684671,-73.89516366
C,POINT (-73.76627100776184 40.725434083110905),In Playground,McLaughlin Playground,4,Active,40.72543408,-73.76627101
A,POINT (-73.9649812524264 40.752479654380984),In Playground,MacArthur Playground,1,Active,40.75247965,-73.96498125
E Wheelchair,POINT (-73.94177526149835 40.57617510226835),Out in Open,Manhattan Beach Park,3,Active,40.5761751,-73.94177526
E Wheelchair,POINT (-73.90880933294608 40.692818159240254),"In Playground, Under Tree, In Shade",Irving Square Park,3,Active,40.69281816,-73.90880933
E Wheelchair,POINT (-74.00296128097798 40.64772028150604),Near Ballfield,Sunset Park,3,Active,40.64772028,-74.00296128
Bottle Filler High Low,POINT (-73.94655315897086 40.57639251741728),In Playground,Manhattan Beach Park,3,Active,40.57639252,-73.94655316
A,POINT (-74.10711200063315 40.61811625609346),Near Ballfield,Clove Lakes Park,5,Active,40.61811626,-74.107112
Other,POINT (-74.01697300639267 40.7117965093786),"Just Outside Playground, In Shade",Battery Park City,1,Active,40.71179651,-74.01697301
E Wheelchair,POINT (-73.98107099824435 40.768413452428284),"Under Tree, In Shade",Central Park,1,Active,40.76841345,-73.981071
E Wheelchair,POINT (-73.95442622753879 40.71334605942604),"Under Tree, In Playground",Jaime Campiz Playground,3,Active,40.71334606,-73.95442623
C,POINT (-73.82282949466799 40.596011665963495),Near Ballfield,Broad Channel American Park,4,Active,40.59601167,-73.82282949
A,POINT (-73.91477360378546 40.64997949303397),"Out in Open, Near Ballfield",Railroad Playground,3,Active,40.64997949,-73.91477359999998
E Wheelchair,POINT (-73.74713980288824 40.768275336691765),Under Tree,Catharine Turner Richardson Park,4,Active,40.76827534,-73.7471398
C,POINT (-73.96387263344599 40.801224143518894),Near Ballfield,Booker T. Washington Playground,1,Active,40.80122414,-73.96387263
D,POINT (-73.93800743198517 40.695439567692034),In Playground,Lewis Playground,3,Active,40.69543957,-73.93800743
E Wheelchair,POINT (-73.96844416568561 40.65108964018947),"Out in Open, Near Ballfield",Parade Ground,3,Active,40.65108964,-73.96844417
C,POINT (-73.87752709445763 40.878045900402),"Just Outside Playground, Under Tree",Williamsbridge Oval,2,Active,40.8780459,-73.87752709
A,POINT (-73.76716652527739 40.59928904339859),Out in Open,Bayswater Park,4,Active,40.59928904,-73.76716653
A,POINT (-74.15842316884304 40.60325911644959),Out in Open,Willowbrook Park,5,Active,40.60325912,-74.15842317
D,POINT (-73.76322173517067 40.59219626681655),"Near Ballfield, Out in Open",Beach 30th Street Playground,4,Active,40.59219627,-73.76322174
A,POINT (-74.00624875509502 40.671346166463145),Out in Open,Red Hook Recreation Area,3,Active,40.67134617,-74.00624876
C,POINT (-73.99249981406554 40.57369129004494),"Out in Open, In Playground",Surf Playground,3,Active,40.57369129,-73.99249981
E High Low,POINT (-73.84742703957433 40.698847983870046),In Playground,Forest Park,4,Active,40.69884798,-73.84742704
C,POINT (-73.88161341491082 40.824660867484184),"Under Tree, Near Ballfield",Colgate Close,2,Active,40.82466087,-73.88161341
E Wheelchair,POINT (-73.9454310957402 40.57657307277931),Out in Open,Manhattan Beach Park,3,Active,40.57657307,-73.9454311
A,POINT (-73.84655377540341 40.67052206570543),In Playground,Rocket Park,4,Active,40.67052207,-73.84655378
E Wheelchair,POINT (-74.01905095100709 40.65329673886444),Near Ballfield,Bush Terminal Park,3,Active,40.65329674,-74.01905095
A,POINT (-73.9301892775195 40.872545115647654),Near Ballfield,Inwood Hill Park,1,Active,40.87254512,-73.93018928
B,POINT (-73.98967335627289 40.714419542764944),"Under Tree, In Playground",Seward Park,1,Active,40.71441954,-73.98967336
A,POINT (-73.93689190732788 40.81210337167226),"In Playground, Under Tree",Abraham Lincoln Playground,1,Active,40.81210337,-73.93689191
A,POINT (-73.90717108077371 40.66064204222951),"Under Tree, In Shade, Near Ballfield",Newport Playground,3,Active,40.66064204,-73.90717108
E Wheelchair,POINT (-73.97029350113138 40.57680122923419),"In Playground, Out in Open",Century Playground,3,Active,40.57680123,-73.97029350000003
D,POINT (-73.98030502273056 40.645837047074366),"In Playground, Out in Open",Albemarle Playground,3,Active,40.64583705,-73.98030502
A,POINT (-73.8392579586479 40.747695932221774),Under Tree,Flushing Meadows Corona Park,4,Active,40.74769593,-73.83925796
A,POINT (-73.77005092031186 40.735728094906726),"Near Ballfield, Out in Open",Cunningham Park,4,Active,40.73572809,-73.77005092
Other,POINT (-74.13158985177012 40.63680753401404),Under Tree,Veterans Park,5,Active,40.63680753,-74.13158985
A,POINT (-73.72809016145166 40.75634389960585),Out in Open,Challenge Playground,4,Active,40.75634390000001,-73.72809016
C,POINT (-73.82331338116805 40.84974402465259),Near Ballfield,Pelham Bay Park,2,Active,40.84974402,-73.82331338
C,POINT (-73.78352890506903 40.84437907982047),Near Ballfield,Ambrosini Field,2,Active,40.84437908,-73.78352891
E Wheelchair,POINT (-73.96463696702435 40.574727748497075),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57472775,-73.96463697
A,POINT (-73.90172457798958 40.825592575463446),"Out in Open, Near Ballfield",Behagen Playground,2,Active,40.82559258,-73.90172458
C,POINT (-73.92583619253787 40.78388154702856),In Playground,Wards Island Park,1,Active,40.78388155,-73.92583619
A,POINT (-73.75380803217078 40.75881277256347),Out in Open,Alley Pond Park,4,Active,40.75881277,-73.75380803
A,POINT (-73.98431185276507 40.69855149128342),"Under Tree, In Shade",Trinity Park,3,Active,40.69855149,-73.98431185
C,POINT (-73.9961539922516 40.68138771362188),"Near Ballfield, In Playground",Carroll Park,3,Active,40.68138771,-73.99615399
C,POINT (-73.77426804704893 40.67423475833513),Under Tree,Rochdale Park,4,Active,40.67423476,-73.77426805
C,POINT (-73.91486326296814 40.831298470249536),"Under Tree, In Shade, In Playground",Mott Playground,2,Active,40.83129847,-73.91486326
A,POINT (-74.0907613264845 40.56938516930025),Out in Open,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.56938517,-74.09076133
D,POINT (-73.91814163216318 40.820504307538265),"Out in Open, In Playground",Melrose Playground,2,Active,40.82050431,-73.91814163
CS Metal,POINT (-73.81482626014056 40.743451118919296),In Playground,Kissena Corridor Park,4,Active,40.74345112,-73.81482626
Trough High Low,POINT (-73.87042642797147 40.818542107761154),In Playground,Soundview Park,2,Active,40.81854211,-73.87042643
C,POINT (-73.75880682340834 40.65745542789175),Near Ballfield,Idlewild Park,4,Active,40.65745543,-73.75880682
E Wheelchair,POINT (-73.94539616551698 40.576583264527365),Out in Open,Manhattan Beach Park,3,Active,40.57658326,-73.94539617
C,POINT (-74.0201680078534 40.60649034479076),Near Ballfield,Dyker Beach Park,3,Active,40.60649034,-74.02016801
C,POINT (-73.99248876480674 40.72029908198635),Under Tree,Sara D. Roosevelt Park,1,Active,40.72029908,-73.99248876
E Wheelchair,POINT (-73.98440358816161 40.71218109610868),"Under Tree, Near Ballfield, In Playground",Lillian D Wald Playground,1,Active,40.7121811,-73.98440359
E Wheelchair,POINT (-73.95889976349895 40.78449107457461),Out in Open,Central Park,1,Active,40.78449107,-73.95889976
A,POINT (-73.97845337173237 40.69751218806838),"Under Tree, Just Outside Playground",Commodore Barry Park,3,Active,40.69751219,-73.97845337
C,POINT (-73.91233501371345 40.83782001592425),"Under Tree, In Shade",Grant Park,2,Active,40.83782002,-73.91233501
E Wheelchair Child,POINT (-73.96952212470076 40.784007281298216),In Playground,Central Park,1,Active,40.78400728,-73.96952212
E Wheelchair Dog,POINT (-73.9768924188707 40.768237610645656),"Under Tree, Out in Open",Central Park,1,Active,40.76823761,-73.97689242
A,POINT (-73.9224811578288 40.77804380305982),"Under Tree, Out in Open",Astoria Park,4,Active,40.7780438,-73.92248116
A,POINT (-73.95404787149685 40.79660140954858),Out in Open,Central Park,1,Active,40.79660141,-73.95404787
C,POINT (-73.85511186724138 40.75672352938145),Out in Open,Hinton Park,4,Active,40.75672353,-73.85511187
A,POINT (-73.82390796922903 40.721849275806946),In Playground,Queens Valley Playground,4,Active,40.72184928,-73.82390797
E Wheelchair Child,POINT (-73.85244632456761 40.84960550930665),In Playground,Loreto Playground,2,Active,40.84960551,-73.85244632
D,POINT (-73.92377447038982 40.841790015391666),"In Playground, In Shade",Ogden Plimpton Playground,2,Active,40.84179002,-73.92377447
C,POINT (-74.0673940294702 40.58844174027426),In Playground,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.58844174,-74.06739403
E Wheelchair,POINT (-73.9946988192302 40.768274722923586),"Under Tree, Near Ballfield, Just Outside Playground",De Witt Clinton Park,1,Active,40.76827472,-73.99469882
C,POINT (-73.8985511381556 40.61876742457104),"Near Ballfield, Out in Open",Belt Parkway/Shore Parkway,3,Active,40.61876742,-73.89855114
B,POINT (-73.94132833563022 40.825868069097886),"In Playground, Under Tree",Jackie Robinson Park,1,Active,40.82586807,-73.94132834
C,POINT (-73.88091138423775 40.665926732970924),In Playground,Elton Playground,3,Active,40.66592673,-73.88091138
D,POINT (-73.96338411130318 40.712717481392204),"Under Tree, In Playground, In Shade",Berry Playground,3,Active,40.71271748,-73.96338411
D,POINT (-73.80702377787107 40.66743845292785),Under Tree,Police Officer Edward Byrne Park,4,Active,40.66743845,-73.80702378
Bottle Filler,POINT (-73.90153190019416 40.815267806963384),Just Outside Playground,Playground 52 LII,2,Active,40.81526781,-73.9015319
E Wheelchair Dog,POINT (-73.999077630305 40.692230730398954),"Under Tree, Out in Open",Adam Yauch Park,3,Active,40.69223073,-73.99907763
B,POINT (-73.88903778903499 40.85329052582363),Under Tree,D'Auria-Murphy Triangle,2,Active,40.85329053,-73.88903779
F High Low,POINT (-73.94229465994451 40.797258312705345),"Under Tree, In Playground, Near Ballfield",James Weldon Johnson Playground,1,Active,40.79725831,-73.94229466
Bottle Filler Fountain,POINT (-74.00095375624056 40.6922697817887),"In Shade, Just Outside Playground",Brooklyn Bridge Park,3,Active,40.69226978,-74.00095376
A,POINT (-73.95813400530048 40.72874487847279),"Under Tree, In Playground",American Playground,3,Active,40.72874488,-73.95813401
D,POINT (-73.89661802864957 40.82733337962374),Near Ballfield,Rev J Polite Playground,2,Active,40.82733338,-73.89661803
D,POINT (-74.11157075745267 40.5615698273558),In Playground,Dugan Playground,5,Active,40.56156983,-74.11157076
CS Metal,POINT (-73.86797644038562 40.86846936922074),Under Tree,Parkside Playground,2,Active,40.86846937,-73.86797644
F High Low,POINT (-73.91173560511743 40.664259953544004),Out in Open,Betsy Head Park,3,Active,40.66425995,-73.91173561
A,POINT (-73.83894612994325 40.873576595333205),"In Playground, Under Tree, In Shade",Haffen Park,2,Active,40.8735766,-73.83894613
Bottle Filler Fountain,POINT (-73.96542565993619 40.662459871153956),Out in Open,Prospect Park,3,Active,40.66245987,-73.96542566
C,POINT (-73.79347809753679 40.86804775814942),Out in Open,Pelham Bay Park,2,Active,40.86804776,-73.7934781
A,POINT (-73.7178716812831 40.73295059385731),In Playground,Bellerose Playground,4,Active,40.73295059,-73.71787168
A,POINT (-73.84738040081821 40.74323885908301),Near Ballfield,Flushing Meadows Corona Park,4,Active,40.74323886,-73.8473804
A,POINT (-74.01232169608717 40.612558420633995),In Playground,Dyker Beach Park,3,Active,40.61255842,-74.0123217
A,POINT (-73.88696172440578 40.7440914594426),In Playground,Frank D. O'Connor Playground,4,Active,40.74409146,-73.88696172
A,POINT (-73.94955699521634 40.721143181085026),Just Outside Playground,McCarren Park,3,Active,40.72114318,-73.949557
CS Concrete,POINT (-73.85175384529441 40.731173004916464),Out in Open,Annadale Playground,4,Active,40.731173,-73.85175385
D,POINT (-73.93528949699622 40.84152386316263),Out in Open,Highbridge Park,1,Active,40.84152386,-73.9352895
C,POINT (-73.99651593210916 40.68985106375571),Out in Open,Neighborhood Parks,3,Active,40.68985106,-73.99651593
E Wheelchair,POINT (-73.92192201095695 40.76799405392142),In Playground,Athens Square,4,Active,40.76799405,-73.92192201
D,POINT (-73.98221826106425 40.68527004792533),"Out in Open, In Playground",North Pacific Playground,3,Active,40.68527005,-73.98221826
C,POINT (-73.83456833058254 40.75084338139443),Near Ballfield,Kissena Corridor Park,4,Active,40.75084338,-73.83456833
A,POINT (-73.83718979603215 40.73352747588953),Out in Open,Flushing Meadows Corona Park,4,Active,40.73352748,-73.83718979999998
D,POINT (-73.78940838596228 40.67485756854235),In Playground,Baisley Pond Park,4,Active,40.67485757,-73.78940839
Other,POINT (-73.98098658645291 40.726389636946),Under Tree,Tompkins Square Park,1,Active,40.72638964,-73.98098659
A,POINT (-73.85788090808396 40.70040469915145),Out in Open,Forest Park,4,Active,40.7004047,-73.85788091
C,POINT (-73.95012889166465 40.78098256649566),In Playground,Ruppert Park,1,Active,40.78098257,-73.95012889
C,POINT (-74.0000698206277 40.7148252256606),Near Ballfield,Columbus Park,1,Active,40.71482523,-74.00006982
E Wheelchair Dog,POINT (-73.9639327877995 40.77729441741716),"Under Tree, In Shade",Central Park,1,Active,40.77729442,-73.96393279
C,POINT (-74.01769289412715 40.67843448829997),Out in Open,Valentino Pier,3,Active,40.67843449,-74.01769289
Other,POINT (-74.01575650841525 40.71791038307982),Under Tree,Battery Park City,1,Active,40.71791038,-74.01575651
E Wheelchair Child,POINT (-73.93595223815682 40.824956567831826),"Under Tree, In Playground, Near Ballfield",Frederick Johnson Playground,1,Active,40.82495657,-73.93595224
E,POINT (-73.97700295092757 40.69250472995406),"In Playground, Under Tree",Fort Greene Park,3,Active,40.69250473,-73.97700295
C,POINT (-73.88610686697074 40.65892069482801),Under Tree,Linden Park,3,Active,40.65892069,-73.88610687
A,POINT (-73.95650913711836 40.7085921648418),Under Tree,Rodney Park Center,3,Active,40.70859216,-73.95650914
CS Concrete,POINT (-73.92206649732184 40.74721062563603),Out in Open,Torsney Playground,4,Active,40.74721063,-73.9220665
E Wheelchair,POINT (-73.98671084156186 40.57240692528942),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57240693,-73.98671084
A,POINT (-73.98894023047983 40.584223956205605),"Out in Open, Near Ballfield",Coney Island Boat Basin,3,Active,40.58422396,-73.98894023
F High Low,POINT (-73.99277339645442 40.76119691046304),"In Shade, Under Tree",Mathews-Palmer Playground,1,Active,40.76119691,-73.9927734
Bottle Filler High Low,POINT (-73.88760582665437 40.6586457122333),Under Tree,Linden Park,3,Active,40.65864571,-73.88760583
A,POINT (-73.94178549062367 40.66271046703335),Near Ballfield,Hamilton Metz Field,3,Active,40.66271047,-73.94178549
C,POINT (-73.94715075074868 40.705999358588336),"Under Tree, Near Ballfield, Just Outside Playground",Sternberg Park,3,Active,40.70599936,-73.94715075
A,POINT (-73.82018460224938 40.60050144793991),In Playground,Broad Channel Park,4,Active,40.60050145,-73.82018459999998
E Wheelchair,POINT (-74.07621214519354 40.62704697371175),Under Tree,Tappen Park,5,Active,40.62704697,-74.07621215
C,POINT (-73.96720753479192 40.70623066357683),"Under Tree, In Shade, Near Ballfield",Roberto Clemente Ballfield,3,Active,40.70623066,-73.96720753
Pedestal,POINT (-73.91590629574951 40.79627919391827),Near Ballfield,Randall's Island Park,1,Active,40.79627919,-73.9159063
Trough,POINT (-74.0141266572305 40.716622715731745),"In Shade, Near Ballfield",Battery Park City,1,Active,40.71662272,-74.01412666
C,POINT (-73.97705649093237 40.717243252463206),"Under Tree, In Playground, Near Ballfield",Baruch Playground,1,Active,40.71724325,-73.97705649
F,POINT (-73.94587805040527 40.79151916176889),"In Playground, Near Ballfield",White Park,1,Active,40.79151916,-73.94587805
E Wheelchair,POINT (-73.96112178136023 40.79583424554979),Out in Open,Central Park,1,Active,40.79583425,-73.96112178
A,POINT (-73.95464171035016 40.682323027936825),Near Ballfield,John Hancock Playground,3,Active,40.68232303,-73.95464171
D,POINT (-73.7746558503163 40.7062884981571),Under Tree,Peters Field,4,Active,40.7062885,-73.77465585
E Wheelchair Child,POINT (-73.88657843724127 40.85603078420298),"Under Tree, Out in Open, In Playground",Ciccarone Park,2,Active,40.85603078,-73.88657844
Other,POINT (-74.01606693330898 40.7131296418912),Out in Open,Battery Park City,1,Active,40.71312964,-74.01606693
A,POINT (-73.78722928392247 40.74464216606593),In Playground,Kissena Corridor Park,4,Active,40.74464217,-73.78722928
B,POINT (-73.96642107026518 40.774483330205186),"Under Tree, In Shade",Central Park,1,Active,40.77448333,-73.96642107
F,POINT (-73.91426282534998 40.67541522676692),Just Outside Playground,Saratoga Ballfields,3,Active,40.67541523,-73.91426283
E Wheelchair,POINT (-73.95606807730273 40.575402483605004),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57540248,-73.95606808
A,POINT (-73.78838490452105 40.67056174366747),Near Ballfield,Baisley Pond Park,4,Active,40.67056174,-73.78838490000003
C,POINT (-73.82693166161359 40.66594638731877),Under Tree,Southern Fields,4,Active,40.66594639,-73.82693166
A,POINT (-74.01730529051528 40.606009444782046),Just Outside Playground,Dyker Beach Park,3,Active,40.60600944,-74.01730529
C,POINT (-73.94665589220214 40.841991946231936),"Out in Open, Near Ballfield",Fort Washington Park,1,Active,40.84199195,-73.94665589
E Wheelchair,POINT (-73.8976848621662 40.63811666430968),"In Playground, Out in Open",Sledge Playground,3,Active,40.63811666,-73.89768486
E Wheelchair,POINT (-73.97495635726848 40.765452167590155),"Under Tree, In Shade",Central Park,1,Active,40.76545217,-73.97495636
C,POINT (-73.90232912323552 40.73803649477713),"Under Tree, In Playground",Nathan Weidenbaum Park,4,Active,40.73803649,-73.90232912
C,POINT (-73.77366642828439 40.729573608920624),"Out in Open, Near Ballfield",Cunningham Park,4,Active,40.72957361,-73.77366643
E Wheelchair Dog,POINT (-74.0769612807298 40.578459369493174),Out in Open,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.57845937,-74.07696128
C,POINT (-73.8491656078962 40.67197359994267),Near Ballfield,Tudor Park,4,Active,40.6719736,-73.84916561
A,POINT (-74.09099457347082 40.567896391087515),Under Tree,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.56789639,-74.09099457
CS Concrete,POINT (-73.95910028822347 40.79730041325291),Out in Open,Central Park,1,Active,40.79730041,-73.95910029
D,POINT (-73.90248423793292 40.65649508203358),Near Ballfield,Brownsville Playground,3,Active,40.65649508,-73.90248424
C,POINT (-73.79440808857389 40.86588424927547),Out in Open,Pelham Bay Park,2,Active,40.86588425,-73.79440809
D,POINT (-73.74975853084624 40.61110291135015),Near Ballfield,Redfern Playground,4,Active,40.61110291,-73.74975853
C,POINT (-74.23021279236576 40.50958957135803),In Playground,Aesop Park,5,Active,40.50958957,-74.23021279
E Wheelchair,POINT (-73.97758931659271 40.71173797805039),Near Ballfield,John V. Lindsay East River Park,1,Active,40.71173798,-73.97758932
C,POINT (-73.80195861429867 40.75565172851566),In Playground,The Olde Towne of Flushing Burial Ground,4,Active,40.75565173,-73.80195861
A,POINT (-73.90382316055147 40.66424657550857),"Under Tree, In Shade",Van Dyke Playground,3,Active,40.66424658,-73.90382316
D,POINT (-73.80842593808578 40.79188779535003),"In Playground, Out in Open",Whitestone Playground,4,Active,40.7918878,-73.80842594
C,POINT (-73.93388181445222 40.67370012305305),Out in Open,St. John's Recreation Center,3,Active,40.67370012,-73.93388181
A,POINT (-73.77739339549608 40.7351563734826),"Just Outside Playground, Out in Open",Farm Playground,4,Active,40.73515637,-73.7773934
C,POINT (-73.93351145663559 40.63681534994446),"Out in Open, In Playground",Chiarantano Playground,3,Active,40.63681535,-73.93351146
D,POINT (-73.91946019820907 40.84652101929195),"Under Tree, In Playground",Half-Nelson Playground,2,Active,40.84652102,-73.9194602
A,POINT (-73.77515228768256 40.68009443166563),Just Outside Playground,North Rochdale Playground,4,Active,40.68009443,-73.77515229
C,POINT (-73.85247531429904 40.75966830792659),Out in Open,Flushing Meadows Corona Park,4,Active,40.75966831,-73.85247531
F High Low,POINT (-73.89874120557413 40.81480527701679),In Playground,Fox Playground,2,Active,40.81480528,-73.89874121
C,POINT (-73.98474554566347 40.62351792923794),Near Ballfield,Gravesend Park,3,Active,40.62351793,-73.98474555
A,POINT (-74.00145474976613 40.595620500643776),Out in Open,Bensonhurst Park,3,Active,40.5956205,-74.00145475
Pedestal,POINT (-73.92910050456388 40.78395822338632),Near Ballfield,Wards Island Park,1,Active,40.78395822,-73.9291005
A,POINT (-73.91480586729676 40.887707993519626),,Riverdale Playground,2,Active,40.88770799,-73.91480587
A,POINT (-73.84430957021617 40.745571732202635),Under Tree,Flushing Meadows Corona Park,4,Active,40.74557173,-73.84430957
C,POINT (-73.8945295242576 40.85253331723024),"Just Outside Playground, Out in Open",Charles W Cooke Farm Garden,2,Active,40.85253332,-73.89452952
D,POINT (-74.03863484088221 40.63200121563924),Under Tree,Shore Park and Parkway,3,Active,40.63200122,-74.03863484
E Wheelchair,POINT (-73.97341335822647 40.72044885495972),"Near Ballfield, Just Outside Playground",John V. Lindsay East River Park,1,Active,40.72044885,-73.97341336
C,POINT (-74.0159385544575 40.61141176380431),Near Ballfield,Dyker Beach Park,3,Active,40.61141176,-74.01593855
Other,POINT (-73.91204487795996 40.696177897795046),"Just Outside Playground, Near Ballfield",Bushwick Playground,3,Active,40.6961779,-73.91204488
CS Concrete,POINT (-73.99952437937891 40.689641259904235),In Playground,Van Voorhees Park,3,Active,40.68964126,-73.99952438
C,POINT (-73.96570801781375 40.67657431937618),"Under Tree, In Playground",Underhill Playground,3,Active,40.67657432,-73.96570802
A,POINT (-73.91941688318893 40.62500755214479),"Out in Open, Near Ballfield",Jacob Joffe Fields,3,Active,40.62500755,-73.91941688
A,POINT (-74.03015410824793 40.612995437455545),In Playground,John J Carty Park,3,Active,40.61299544,-74.03015411
E Wheelchair,POINT (-73.97572915205023 40.7137367921152),Out in Open,John V. Lindsay East River Park,1,Active,40.71373679,-73.97572915
E Wheelchair,POINT (-73.95584492031705 40.70978703072111),"Under Tree, In Shade",Rodney Playground Center,3,Active,40.70978703,-73.95584492
D,POINT (-73.93457353930856 40.70600926460793),"Under Tree, In Playground",Gilbert Ramirez Park,3,Active,40.70600926,-73.93457354
CS Concrete,POINT (-73.76514013381069 40.73916581521502),"In Playground, Near Ballfield",Cunningham Park,4,Active,40.73916582,-73.76514013
Trough,POINT (-73.83610438407652 40.57775644395045),Out in Open,Rockaway Beach,4,Active,40.57775644,-73.83610438
B,POINT (-73.949243766736 40.76988883003371),Under Tree,John Jay Park,1,Active,40.76988883,-73.94924377
E Wheelchair,POINT (-73.94634943766806 40.57593377364237),Out in Open,Manhattan Beach Park,3,Active,40.57593377,-73.94634944
C,POINT (-73.95091342985243 40.69537820515393),Near Ballfield,Marcy Playground,3,Active,40.69537821,-73.95091343
C,POINT (-73.9077000237716 40.854981882377935),"In Playground, Under Tree",Davidson Playground,2,Active,40.85498188,-73.90770002
C,POINT (-73.98061427203285 40.578437876797025),"Under Tree, Out in Open, In Shade, In Playground",Neptune Playground,3,Active,40.57843788,-73.98061427
CS Metal,POINT (-73.91600159916392 40.887128316624164),Out in Open,Spuyten Duyvil Playground,2,Active,40.88712832,-73.9160016
E Wheelchair,POINT (-73.88508802315293 40.729217888466266),Out in Open,Elmhurst Park,4,Active,40.72921789,-73.88508802
A,POINT (-74.00101137350306 40.73096210774585),Under Tree,West 4th Street Courts,1,Active,40.73096211,-74.00101137
A,POINT (-73.93785556904041 40.78923592637877),Near Ballfield,East River Playground,1,Active,40.78923593,-73.93785557
C,POINT (-73.78525862420153 40.673931743754046),Out in Open,Baisley Pond Park,4,Active,40.67393174,-73.78525862
A,POINT (-73.97747597915205 40.575884319049536),"In Playground, Out in Open",Luna Park,3,Active,40.57588432,-73.97747598
C,POINT (-74.09753153082801 40.56412130830017),Just Outside Playground,Great Kills Park,5,Active,40.56412131,-74.09753153
E High Low,POINT (-73.89297815269266 40.859496597846665),"In Playground, Under Tree",Webster Playground,2,Active,40.8594966,-73.89297815
A,POINT (-73.73543029854976 40.76187767743074),In Playground,Louis Pasteur Park,4,Active,40.76187768,-73.73543029999998
B,POINT (-73.93460394548093 40.8068530475528),Near Ballfield,Harlem River Park,1,Active,40.80685305,-73.93460395
C,POINT (-73.95877004627857 40.80298224772206),"Near Ballfield, Just Outside Playground",Morningside Park,1,Active,40.80298225,-73.95877005
E Wheelchair Child,POINT (-73.89745984282882 40.77255741818319),In Playground,Paul Raimonda Playground,4,Active,40.77255742,-73.89745984
C,POINT (-73.92605558285564 40.83906390013497),"Under Tree, In Shade, In Playground",Merriam Playground,2,Active,40.8390639,-73.92605558
